time(h)	PPFD(umol/m2/s)	VPD(kPa)	T(oC)
768	50.5	0.21624253	22.48148148
769	332.3333333	0.472463525	24.46296296
770	790.3333333	0.862742645	26.30555556
771	1262	1.165408039	27.33333333
772	1413.666667	1.38336475	28.28703704
773	1612.833333	1.632838359	28.90740741
774	1798.166667	1.902109371	29.74074074
775	1745.833333	2.105061309	30.48148148
776	1454.833333	2.247487394	30.59259259
777	1029.833333	2.221494297	30.62037037
778	633.6666667	2.178290954	30.38888889
779	300	2.018482035	29.73148148
780	56	1.518719495	28.13888889
781	0	0.833417006	25.75925926
782	0	0.6470646	25.43518519
783	0	0.375632854	24.81481481
784	0	0.233208792	24.32407407
